Run,Algorithm,Colors Used,Execution Time (s),Memory Usage (MiB)
Header,File: DSJC1000.1.col,,,
1,Greedy Coloring,31,0.006445407867431641,0.0
2,Greedy Coloring,31,0.0056836605072021484,0.0078125
3,Greedy Coloring,31,0.005949974060058594,0.0
4,Greedy Coloring,31,0.004503965377807617,0.0
5,Greedy Coloring,31,0.0057108402252197266,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,29,0.11044621467590332,0.00390625
2,DSATUR Coloring,29,0.11070775985717773,0.00390625
3,DSATUR Coloring,29,0.1100926399230957,0.0
4,DSATUR Coloring,29,0.11106300354003906,0.0
5,DSATUR Coloring,29,0.11255717277526855,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,31,0.6850485801696777,1.66015625
2,Genetic Algorithm,31,0.6902639865875244,0.50390625
3,Genetic Algorithm,31,0.685396671295166,-1.109375
4,Genetic Algorithm,31,0.6838312149047852,0.77734375
5,Genetic Algorithm,31,0.6847896575927734,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,27,9.277194738388062,-0.04296875
2,POP2 Algorithm,27,9.62738299369812,0.765625
3,POP2 Algorithm,27,9.581810235977173,0.4140625
4,POP2 Algorithm,27,9.732417345046997,0.4609375
5,POP2 Algorithm,27,9.55608606338501,1.20703125
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,31,0.004503965377807617,0.0
Worst,Greedy Coloring,31,0.006445407867431641,0.0
Best,DSATUR Coloring,29,0.1100926399230957,0.0
Worst,DSATUR Coloring,29,0.11255717277526855,0.0
Best,Genetic Algorithm,31,0.6838312149047852,0.77734375
Worst,Genetic Algorithm,31,0.6902639865875244,0.50390625
Best,POP2 Algorithm,27,9.277194738388062,-0.04296875
Worst,POP2 Algorithm,27,9.732417345046997,0.4609375
Average,Greedy Coloring,31.0,0.0057,0.0016
Average,DSATUR Coloring,29.0,0.111,0.0016
Average,Genetic Algorithm,31.0,0.6859,0.3664
Average,POP2 Algorithm,27.0,9.555,0.5609
End,File: DSJC1000.1.col,---,---,---
Header,File: DSJC1000.5.col,,,
1,Greedy Coloring,127,0.02038264274597168,0.0
2,Greedy Coloring,127,0.020811080932617188,0.0
3,Greedy Coloring,127,0.018935680389404297,0.0
4,Greedy Coloring,127,0.0196230411529541,0.0
5,Greedy Coloring,127,0.020604372024536133,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,121,0.15706348419189453,0.00390625
2,DSATUR Coloring,121,0.1584165096282959,0.0
3,DSATUR Coloring,121,0.1578519344329834,-0.0625
4,DSATUR Coloring,121,0.16363811492919922,0.0
5,DSATUR Coloring,121,0.15959954261779785,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,127,2.2097108364105225,0.2890625
2,Genetic Algorithm,126,2.194924831390381,0.00390625
3,Genetic Algorithm,126,2.262925863265991,0.0
4,Genetic Algorithm,126,2.233206033706665,0.00390625
5,Genetic Algorithm,126,2.159163475036621,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,115,30.234774351119995,-0.0625
2,POP2 Algorithm,115,30.26464867591858,-0.73046875
3,POP2 Algorithm,115,30.188209056854248,0.421875
4,POP2 Algorithm,115,30.29425024986267,-0.77734375
5,POP2 Algorithm,115,30.154157638549805,0.05078125
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,127,0.018935680389404297,0.0
Worst,Greedy Coloring,127,0.020811080932617188,0.0
Best,DSATUR Coloring,121,0.15706348419189453,0.00390625
Worst,DSATUR Coloring,121,0.16363811492919922,0.0
Best,Genetic Algorithm,126,2.159163475036621,0.0
Worst,Genetic Algorithm,127,2.2097108364105225,0.2890625
Best,POP2 Algorithm,115,30.154157638549805,0.05078125
Worst,POP2 Algorithm,115,30.29425024986267,-0.77734375
Average,Greedy Coloring,127.0,0.0201,0.0
Average,DSATUR Coloring,121.0,0.1593,-0.0117
Average,Genetic Algorithm,126.2,2.212,0.0594
Average,POP2 Algorithm,115.0,30.2272,-0.2195
End,File: DSJC1000.5.col,---,---,---
Header,File: DSJC1000.9.col,,,
1,Greedy Coloring,321,0.0359952449798584,0.0
2,Greedy Coloring,321,0.03545022010803223,0.0
3,Greedy Coloring,321,0.03684234619140625,0.0
4,Greedy Coloring,321,0.03448605537414551,0.0
5,Greedy Coloring,321,0.03585958480834961,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,313,0.2176814079284668,0.02734375
2,DSATUR Coloring,313,0.21382761001586914,0.0
3,DSATUR Coloring,313,0.21327805519104004,0.0
4,DSATUR Coloring,313,0.20705318450927734,0.0
5,DSATUR Coloring,313,0.21642422676086426,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,313,3.934828519821167,-1.8671875
2,Genetic Algorithm,314,4.012571096420288,0.0
3,Genetic Algorithm,315,3.877981424331665,0.00390625
4,Genetic Algorithm,313,4.006258726119995,0.0
5,Genetic Algorithm,317,3.9891345500946045,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,299,30.23560404777527,-0.5625
2,POP2 Algorithm,299,30.41085457801819,-0.33984375
3,POP2 Algorithm,299,30.314443588256836,0.23046875
4,POP2 Algorithm,299,30.30213713645935,-0.11328125
5,POP2 Algorithm,299,30.271744966506958,0.04296875
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,321,0.03448605537414551,0.0
Worst,Greedy Coloring,321,0.03684234619140625,0.0
Best,DSATUR Coloring,313,0.20705318450927734,0.0
Worst,DSATUR Coloring,313,0.2176814079284668,0.02734375
Best,Genetic Algorithm,313,3.934828519821167,-1.8671875
Worst,Genetic Algorithm,317,3.9891345500946045,0.0
Best,POP2 Algorithm,299,30.23560404777527,-0.5625
Worst,POP2 Algorithm,299,30.41085457801819,-0.33984375
Average,Greedy Coloring,321.0,0.0357,0.0
Average,DSATUR Coloring,313.0,0.2137,0.0055
Average,Genetic Algorithm,314.4,3.9642,-0.3727
Average,POP2 Algorithm,299.0,30.307,-0.1484
End,File: DSJC1000.9.col,---,---,---
Header,File: DSJC125.1.col,,,
1,Greedy Coloring,8,0.00018858909606933594,0.0
2,Greedy Coloring,8,0.000194549560546875,0.0
3,Greedy Coloring,8,0.00017833709716796875,0.0
4,Greedy Coloring,8,0.0001857280731201172,0.0
5,Greedy Coloring,8,0.00018858909606933594,0.0
6,Greedy Coloring,8,0.0001842975616455078,0.0
7,Greedy Coloring,8,0.00022101402282714844,0.0
8,Greedy Coloring,8,0.00019240379333496094,0.0
9,Greedy Coloring,8,0.00018978118896484375,0.0
10,Greedy Coloring,8,0.00017976760864257812,0.0
11,Greedy Coloring,8,0.00017404556274414062,0.0
12,Greedy Coloring,8,0.0001747608184814453,0.0
13,Greedy Coloring,8,0.00017571449279785156,0.0
14,Greedy Coloring,8,0.00018858909606933594,0.0
15,Greedy Coloring,8,0.00021076202392578125,0.0
16,Greedy Coloring,8,0.00018310546875,0.0
17,Greedy Coloring,8,0.00018906593322753906,0.0
18,Greedy Coloring,8,0.0001964569091796875,0.0
19,Greedy Coloring,8,0.00021696090698242188,0.0
20,Greedy Coloring,8,0.0002009868621826172,0.0
21,Greedy Coloring,8,0.00019598007202148438,0.0
22,Greedy Coloring,8,0.00018143653869628906,0.0
23,Greedy Coloring,8,0.0001838207244873047,0.0
24,Greedy Coloring,8,0.0001552104949951172,0.0
25,Greedy Coloring,8,0.00022673606872558594,0.0
26,Greedy Coloring,8,0.00015282630920410156,0.0
27,Greedy Coloring,8,0.00018644332885742188,0.0
28,Greedy Coloring,8,0.00018858909606933594,0.0
29,Greedy Coloring,8,0.00019121170043945312,0.0
30,Greedy Coloring,8,0.00018715858459472656,0.0
31,Greedy Coloring,8,0.00038313865661621094,0.0
32,Greedy Coloring,8,0.0001518726348876953,0.0
33,Greedy Coloring,8,0.0001518726348876953,0.0
34,Greedy Coloring,8,0.00019073486328125,0.0
35,Greedy Coloring,8,0.0002243518829345703,0.0
36,Greedy Coloring,8,0.00018477439880371094,0.0
37,Greedy Coloring,8,0.00018072128295898438,0.0
38,Greedy Coloring,8,0.0001804828643798828,0.0
39,Greedy Coloring,8,0.000186920166015625,0.0
40,Greedy Coloring,8,0.00018477439880371094,0.0
41,Greedy Coloring,8,0.000171661376953125,0.0
42,Greedy Coloring,8,0.00018978118896484375,0.0
43,Greedy Coloring,8,0.00018024444580078125,0.0
44,Greedy Coloring,8,0.00019025802612304688,0.0
45,Greedy Coloring,8,0.00018858909606933594,0.0
46,Greedy Coloring,8,0.00018072128295898438,0.0
47,Greedy Coloring,8,0.0001881122589111328,0.0
48,Greedy Coloring,8,0.00015473365783691406,0.0
49,Greedy Coloring,8,0.00018978118896484375,0.0
50,Greedy Coloring,8,0.00020384788513183594,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,7,0.0017392635345458984,0.0
2,DSATUR Coloring,7,0.001653432846069336,0.0
3,DSATUR Coloring,7,0.0018222332000732422,0.0
4,DSATUR Coloring,7,0.0020837783813476562,0.0
5,DSATUR Coloring,7,0.0019004344940185547,0.0
6,DSATUR Coloring,7,0.0018436908721923828,0.0
7,DSATUR Coloring,7,0.001668691635131836,0.0
8,DSATUR Coloring,7,0.0018799304962158203,0.0
9,DSATUR Coloring,7,0.0019412040710449219,0.0
10,DSATUR Coloring,7,0.0018622875213623047,0.0
11,DSATUR Coloring,7,0.0017786026000976562,0.0
12,DSATUR Coloring,7,0.0020589828491210938,0.0
13,DSATUR Coloring,7,0.001840353012084961,0.0
14,DSATUR Coloring,7,0.0017976760864257812,0.0
15,DSATUR Coloring,7,0.0017309188842773438,0.0
16,DSATUR Coloring,7,0.002149343490600586,0.0
17,DSATUR Coloring,7,0.0018796920776367188,0.0
18,DSATUR Coloring,7,0.0016715526580810547,0.0
19,DSATUR Coloring,7,0.0018126964569091797,0.0
20,DSATUR Coloring,7,0.00176239013671875,0.0
21,DSATUR Coloring,7,0.0019221305847167969,0.0
22,DSATUR Coloring,7,0.00183868408203125,0.0
23,DSATUR Coloring,7,0.0016412734985351562,0.0
24,DSATUR Coloring,7,0.0019164085388183594,0.0
25,DSATUR Coloring,7,0.0019636154174804688,0.0
26,DSATUR Coloring,7,0.0016779899597167969,0.0
27,DSATUR Coloring,7,0.0019252300262451172,0.0
28,DSATUR Coloring,7,0.002017974853515625,0.0
29,DSATUR Coloring,7,0.0020186901092529297,0.0
30,DSATUR Coloring,7,0.0019307136535644531,0.0
31,DSATUR Coloring,7,0.001861572265625,0.0
32,DSATUR Coloring,7,0.0017650127410888672,0.0
33,DSATUR Coloring,7,0.0018079280853271484,0.0
34,DSATUR Coloring,7,0.001959085464477539,0.0
35,DSATUR Coloring,7,0.001911163330078125,0.0
36,DSATUR Coloring,7,0.0019321441650390625,0.0
37,DSATUR Coloring,7,0.0018830299377441406,0.0
38,DSATUR Coloring,7,0.0018880367279052734,0.0
39,DSATUR Coloring,7,0.0018219947814941406,0.0
40,DSATUR Coloring,7,0.0020508766174316406,0.0
